,year,latitude,longitude,high
41671,1993,-12.816667,14.933333,500
41681,1993,-9.54472,16.34528,186
41683,1993,-12.383333,16.933332999999998,149
41686,1993,-12.383333,16.933332999999998,200
41692,1993,-12.5,18.5,101
41730,1993,-12.5,18.5,183
41760,1994,-12.383333,16.933332999999998,400
41767,1994,-6.133333,12.366667,2000
41798,1994,-9.3,14.916667000000002,300
41811,1994,-12.383333,16.933332999999998,136
41829,1994,-12.383333,16.933332999999998,100
41856,1994,-9.3,14.916667000000002,138
41867,1994,-9.3,14.916667000000002,380
41884,1994,-12.383333,16.933332999999998,200
41886,1994,-12.383333,16.933332999999998,224
41902,1994,-8.7672,17.995724,124
41913,1994,-14.166667000000002,14.0,105
41917,1994,-4.6666669999999995,12.833333,100
41939,1994,-9.54472,16.34528,103
41945,1994,-8.7672,17.995724,114
41976,1994,-12.776111,15.739167000000002,1500
41981,1994,-13.733332999999998,15.066667,300
42056,1995,-8.4,20.716667,144
42159,1998,-12.383333,16.933332999999998,300
42161,1998,-12.5,17.0,150
42175,1999,-9.544722,16.345278,525
42191,1999,-6.266667,14.25,199
42200,1999,-6.266667,14.25,400
42207,1999,-12.5,17.25,225
42213,1999,-12.5,18.5,424
42253,1999,-12.0,16.833333,100
42308,1999,-8.833333,14.5,105
42343,1999,-7.0,15.666667000000002,200
42363,1999,-12.2,15.866667000000001,200
42368,1999,-12.2,15.866667000000001,670
42375,2000,-13.0,20.5,1493
42389,2000,-12.5,18.5,101
42447,2000,-12.5,18.5,234
42456,2001,-16.0,16.0,167
42470,2001,-12.5,18.5,386
42471,2001,-16.0,16.0,126
42477,2001,-12.5,18.5,210
42484,2001,-8.58,13.664167,200
42569,1992,-4.95,12.616667,118
42583,1996,-4.95,12.616667,107
42596,1998,-5.0,12.5,200
42613,2002,-5.0,12.5,100
42719,1993,-14.916667000000002,13.5,200
42722,1994,-9.166667,13.833332999999998,328
42723,1994,-8.116667,14.516667000000002,203
42728,1994,-4.78866,12.610244999999999,100
42729,1994,-4.766667,12.55,107
42832,1989,-12.5,18.5,200
42861,1993,-12.5,15.666667000000002,200
42862,1993,-12.776111,15.739167000000002,1000
42866,1993,-15.333332999999998,15.0,225
42869,1993,-12.383333,16.933332999999998,200
42878,1994,-10.3,16.366667,170
42895,1995,-12.957,13.600999999999999,108
42900,1995,-8.4,20.716667,163
42902,1995,-13.866667000000001,14.0,105
42916,1998,-8.9,17.066667000000002,145
42921,1998,-8.65157,14.156525,100
42980,2000,-12.55,16.333333,115
43047,2001,-8.58,13.664167,200
43048,2001,-8.58,13.664167,100
43064,2001,-8.833333,14.5,261
43172,1992,40.58333,45.25,129
43257,1992,39.991,47.1099,190
43294,1992,40.3217,46.9056,100
43311,1992,39.75,46.75,100
43331,1992,40.0,46.583333,300
43361,1992,40.63965,45.521057,300
43382,1992,40.0,46.583333,100
43385,1992,39.85,46.3,150
43408,1993,40.0,46.583333,178
43439,1993,39.991,47.1099,133
43440,1993,39.991,47.1099,150
43463,1993,39.75,47.66667,400
43464,1993,39.75,47.66667,100
43465,1993,40.5,47.5,100
43472,1994,39.991,47.1099,250
43492,1994,40.5,47.5,120
43496,1994,40.1,46.0,200
43497,1994,39.448771,47.335313,200
43498,1994,40.1,46.0,150
43503,1994,39.58333,47.33333,700
43510,1994,39.58333,47.33333,330
43511,1994,39.983610999999996,46.928611,150
43516,1994,40.5,47.5,200
43525,1994,39.58333,47.33333,100
43758,2016,40.0,46.583333,130
43843,2020,40.0,47.0,350
